ID_ALIAS,ID_LOCALIZACION_COMPRA,ID_AJENO,STOCK_MINIMO,STOCK_MAXIMO,STOCK_RECUENTOS,STOCK_TEORICO,FECHA_HORA_EJECUCION_STOCK_RECUENTOS,FECHA_HORA_EJECUCION_STOCK_TEORICO,FECHA_ALTA,USUARIO_ALTA,FECHA_MODIFICACION,USUARIO_MODIFICACION,FECHA_BAJA,USUARIO_BAJA,FECHA_HORA_ACTUALIZACION_STOCK_TEORICO,CAPACIDAD_MAXIMA,ID_ALIAS_ANALYTICS,STOCK_RECUENTOS_VALIDADO_BULTOS,STOCK_MINIMO_BULTOS,CAPACIDAD_MAXIMA_VALIDADA_BULTOS,RN,año_mes,necesita_reposicion,cantidad_a_reponer,log_cantidad_a_reponer
240,16141,,,100,105.0,52,2025-06-03 11:05:32.691,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,60.0,,0,,4),(240,2025-06,0,0.0,0.0
240,12790,,,100,105.0,173,2025-06-03 14:18:18.436,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,300.0,,,,20),(240,2025-06,0,135.0,4.912654885736052
240,13915,,,100,15.0,42,2025-06-03 15:59:56.624,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:41:06.897,BATCH_RAM,,,2025-03-21 00:00:00.000,45.0,,0,,3),(240,2025-06,0,21.0,3.091042453358316
240,11929,,,100,75.0,83,2025-06-02 14:37:51.039,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,75.0,,5,,5),(241,2025-06,0,0.0,0.0
145,16718,,,100,6400.0,4705,2025-06-02 14:40:04.330,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,16000.0,,17,,40),(145,2025-06,0,6400.0,8.764209507142004
201,16726,,400.0,100,10000.0,11132,2025-02-17 10:59:42.767,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-02-19 09:48:49.546,BATCH_RAM,,,2025-04-02 00:00:00.000,6000.0,,25,1,15),(201,2025-02,0,0.0,0.0
148,16763,,,100,300.0,300,2025-06-02 08:39:52.539,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-02 14:53:45.380,BATCH_RAM,,,2025-04-02 00:00:00.000,600.0,,1,,2),(148,2025-06,0,180.0,5.198497031265826
227,2909,,,100,180.0,198,2025-06-04 15:30:49.242,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,120.0,,1,,8),(227,2025-06,0,0.0,0.0
227,7410,,,100,0.0,30,2024-11-21 14:42:53.091,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-01-17 12:53:54.804,BATCH_RAM,,,2025-03-21 00:00:00.000,15.0,,0,,1),(227,2024-11,1,12.0,2.5649493574615367
227,12963,,,100,15.0,30,2025-06-03 16:42:32.244,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-21 00:00:00.000,15.0,,0,,2),(227,2025-06,0,0.0,0.0
