ID_ALIAS,ID_LOCALIZACION_COMPRA,ID_AJENO,FECHA_ALTA,USUARIO_ALTA,FECHA_MODIFICACION,USUARIO_MODIFICACION,FECHA_BAJA,USUARIO_BAJA,ID_ALIAS_ANALYTICS,RN,año_mes,semana_del_año,dia_del_año,es_fin_semana,mes_sen,mes_cos,dia_semana_sen,dia_semana_cos,es_temporada_alta,dato_muy_reciente,dato_reciente,dato_medio,dato_antiguo,antiguedad_normalizada,alias_frecuencia,alias_pct_fin_semana,alias_pct_temporada_alta,alias_coef_variacion,alias_popularidad,loc_diversidad_alias,loc_num_registros,loc_tamaño,loc_diversidad,es_alias_popular_loc_grande,es_alias_popular_loc_pequeña,alias_frecuencia_log,alias_coef_variacion_sqrt,alias_popularidad_Alta,alias_popularidad_Baja,alias_popularidad_Media,loc_tamaño_Grande,loc_tamaño_Mediana,loc_tamaño_Pequeña,dato_muy_reciente_win,necesita_reposicion,cantidad_a_reponer,log_cantidad_a_reponer
176,11880,,2024-07-30 12:00:28.212,RAM,2024-08-01 16:14:39.694,BATCH_RAM,2024-11-04 22:06:15.884,annarcay,,(176,2024-08,31,214,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0.4976303317535545,26,0.0,0.0,0.5077177777777778,Media,1,1,Pequeña,Baja,0,0,3.295836866004329,0.7125431760797221,0,0,1,0,0,1,0,0,420.0,6.042632833682381
176,12342,,2024-07-30 12:00:28.212,RAM,2024-08-01 16:14:05.166,BATCH_RAM,2024-11-04 22:06:15.884,annarcay,,(176,2024-08,31,214,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0.4976303317535545,26,0.0,0.0,0.5077177777777778,Media,1,1,Pequeña,Baja,0,0,3.295836866004329,0.7125431760797221,0,0,1,0,0,1,0,0,0.0,0.0
176,12957,,2024-07-30 12:00:28.212,RAM,2024-08-01 16:15:06.261,BATCH_RAM,2024-11-04 22:06:15.884,annarcay,,(176,2024-08,31,214,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0.4976303317535545,26,0.0,0.0,0.5077177777777778,Media,1,1,Pequeña,Baja,0,0,3.295836866004329,0.7125431760797221,0,0,1,0,0,1,0,1,240.0,5.484796933490655
176,14694,,2024-07-30 12:00:28.212,RAM,2024-08-01 16:14:36.053,BATCH_RAM,2024-11-04 22:06:15.884,annarcay,,(176,2024-08,31,214,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0.4976303317535545,26,0.0,0.0,0.5077177777777778,Media,1,1,Pequeña,Baja,0,0,3.295836866004329,0.7125431760797221,0,0,1,0,0,1,0,0,0.0,0.0
179,1834,,2024-07-30 12:00:28.212,RAM,2024-08-01 16:14:03.868,BATCH_RAM,2024-11-04 22:03:40.190,annarcay,,(179,2024-08,31,214,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0.4976303317535545,22,0.0,0.0,0.5447292069632496,Media,1,1,Pequeña,Baja,0,0,3.1354942159291497,0.7380577260372319,0,0,1,0,0,1,0,0,2.2,1.1631508098056809
179,11674,,2024-07-30 12:00:28.212,RAM,2024-08-01 16:14:58.257,BATCH_RAM,2024-11-04 22:03:40.190,annarcay,,(179,2024-08,31,214,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0.4976303317535545,22,0.0,0.0,0.5447292069632496,Media,1,1,Pequeña,Baja,0,0,3.1354942159291497,0.7380577260372319,0,0,1,0,0,1,0,1,1.6,0.9555114450274363
179,12050,,2024-07-30 12:00:28.212,RAM,2024-08-09 14:07:06.338,BATCH_RAM,2024-11-04 22:03:40.190,annarcay,,(179,2024-08,31,214,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0.4976303317535545,22,0.0,0.0,0.5447292069632496,Media,1,1,Pequeña,Baja,0,0,3.1354942159291497,0.7380577260372319,0,0,1,0,0,1,0,1,4.0,1.6094379124341005
240,16791,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,juanjdv,2024-10-29 17:56:26.371,annarcay,,(240,2025-05,22,150,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,0,1,0,0.020537124802527645,52,0.038,0.288,0.7351850290820198,Alta,2,2,Pequeña,Media,0,1,3.970291913552122,0.8574293143356015,1,0,0,0,0,1,0,0,0.0,0.0
240,2875,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(240,2025-06,23,153,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,1,0,0.017377567140600316,52,0.038,0.288,0.7351850290820198,Alta,3,3,Mediana,Alta,0,0,3.970291913552122,0.8574293143356015,1,0,0,0,1,0,0,0,0.0,0.0
240,16141,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(240,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.01579778830963665,52,0.038,0.288,0.7351850290820198,Alta,1,1,Pequeña,Baja,0,1,3.970291913552122,0.8574293143356015,1,0,0,0,0,1,0,0,0.0,0.0
240,12790,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(240,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,52,0.038,0.288,0.7351850290820198,Alta,3,3,Grande,Alta,1,0,3.970291913552122,0.8574293143356015,1,0,0,1,0,0,0,0,135.0,4.912654885736052
240,13915,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:41:06.897,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(240,2025-06,23,154,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0.014218009478672985,52,0.038,0.288,0.7351850290820198,Alta,3,3,Mediana,Alta,0,0,3.970291913552122,0.8574293143356015,1,0,0,0,1,0,0,0,21.0,3.091042453358316
240,11929,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(241,2025-06,23,153,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,1,0,0.01579778830963665,52,0.038,0.288,0.7351850290820198,Alta,1,1,Pequeña,Baja,0,1,3.970291913552122,0.8574293143356015,1,0,0,0,0,1,0,0,0.0,0.0
145,16718,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(145,2025-06,23,153,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,1,0,0.01579778830963665,52,0.038,0.385,0.8941368473342978,Alta,1,1,Grande,Baja,1,0,3.970291913552122,0.9455880960197721,1,0,0,1,0,0,0,0,6400.0,8.764209507142004
201,16726,,2024-07-30 12:00:28.212,RAM,2025-02-19 09:48:49.546,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(201,2025-02,8,48,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0,0,0,0,1,0.18325434439178515,14,0.071,0.357,0.6921056381332755,Baja,1,1,Grande,Baja,0,0,2.70805020110221,0.8319288660295876,0,1,0,1,0,0,0,0,0.0,0.0
148,16763,,2024-07-30 12:00:28.212,RAM,2025-06-02 14:53:45.380,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(148,2025-06,23,153,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,1,0,0.017377567140600316,52,0.019,0.327,1.088026782328498,Alta,1,1,Pequeña,Baja,0,1,3.970291913552122,1.0430852229460919,1,0,0,0,0,1,0,0,180.0,5.198497031265826
227,2909,,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(227,2025-06,23,155,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0.01263823064770932,52,0.058,0.365,0.9088862136614945,Alta,3,3,Grande,Alta,1,0,3.970291913552122,0.9533552400136553,1,0,0,1,0,0,0,0,0.0,0.0
227,7410,,2024-07-30 12:00:28.212,RAM,2025-01-17 12:53:54.804,BATCH_RAM,2024-10-29 17:56:26.371,annarcay,,(227,2024-11,47,326,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,1,0,0,0,1,0.320695102685624,52,0.058,0.365,0.9088862136614945,Alta,2,2,Pequeña,Media,0,1,3.970291913552122,0.9533552400136553,1,0,0,0,0,1,0,1,12.0,2.5649493574615367
