feature,importance
alias_pct_temporada_alta,0.12385805879570388
antiguedad_normalizada,0.11714480254635261
alias_coef_variacion_sqrt,0.10693060503617799
alias_coef_variacion,0.09504971202582183
dia_del_año,0.07559039565213119
alias_pct_fin_semana,0.07352104425352593
mes_sen,0.05262678915289865
alias_frecuencia,0.05020838486232241
loc_diversidad_alias,0.04858835216368173
loc_num_registros,0.04806944663914379
alias_frecuencia_log,0.04185741908537552
dia_semana_sen,0.03424432586582103
loc_tamaño_Pequeña,0.022807951114668535
weekday,0.02213875161975772
mes_cos,0.01709589719979694
semana_del_año,0.011267818646329355
loc_tamaño_Grande,0.009944953498954384
dia_semana_cos,0.008747806305317664
loc_tamaño_Mediana,0.007965950559997569
alias_popularidad_Media,0.006880349561632288
es_alias_popular_loc_pequeña,0.006855501670135777
dato_medio,0.00553677387165094
es_alias_popular_loc_grande,0.003650299529884346
es_fin_semana,0.003383791226180804
alias_popularidad_Alta,0.0016655663662302424
dato_antiguo,0.0013215740163502292
dato_reciente,0.001214226793887892
es_temporada_alta,0.0011766418606330837
alias_popularidad_Baja,0.0006567870702753756
dato_muy_reciente,2.3009360363050828e-08
ID_AJENO,0.0
ID_ALIAS_ANALYTICS,0.0
