ID_ALIAS,Exactitud,Tasa_Real_Reposición,Tasa_Pred_Reposición,Error_Medio_Cantidad
120,0.2222222222222222,0.05555555555555555,0.8333333333333334,2541.0062188042534
121,0.1875,0.1875,1.0,2804.270706176758
122,0.23809523809523808,0.23809523809523808,1.0,2285.6404622395835
123,0.75,0.75,1.0,470.12974548339844
124,0.4,0.4,1.0,1105.089969889323
125,0.2631578947368421,0.2631578947368421,1.0,1854.1491217362254
126,0.3333333333333333,0.3333333333333333,1.0,1928.597273763021
127,0.25,0.25,1.0,1848.7788314819336
129,0.27586206896551724,0.27586206896551724,1.0,502.6000760834793
130,0.19230769230769232,0.19230769230769232,1.0,553.6544658954327
131,0.35294117647058826,0.058823529411764705,0.7058823529411765,621.0384359920727
133,0.47619047619047616,0.47619047619047616,1.0,662.9248947870163
134,0.2,0.24,0.96,1050.3282873535156
135,0.6666666666666666,0.6666666666666666,1.0,622.2991858588325
136,0.3333333333333333,0.3333333333333333,1.0,596.3293078104655
137,0.4090909090909091,0.2727272727272727,0.7727272727272727,1651.8913907137785
138,0.43478260869565216,0.0,0.5652173913043478,4698.252433445143
139,0.2,0.0,0.8,4301.075423177083
140,0.55,0.45,0.9,3357.418524169922
141,0.42105263157894735,0.05263157894736842,0.5263157894736842,7297.9691354851975
142,0.47368421052631576,0.2631578947368421,0.7894736842105263,3253.997304815995
143,0.2222222222222222,0.2222222222222222,1.0,1600.9407145182292
144,0.9333333333333333,0.06666666666666667,0.0,200.0
145,0.5,0.14285714285714285,0.6428571428571429,1318.449907575335
146,0.25,0.2,0.95,1081.997262573242
147,0.18181818181818182,0.18181818181818182,1.0,1527.7733709161932
148,0.5,0.5,1.0,903.485354953342
149,0.0,0.0,1.0,1551.6005859375
151,0.0,0.0,1.0,1553.2769775390625
153,1.0,1.0,1.0,5555.56494140625
156,0.0,0.0,1.0,313.61517333984375
158,0.0,0.0,1.0,359.8623962402344
162,0.0,0.0,1.0,1475.1256713867188
163,1.0,1.0,1.0,281.249755859375
165,0.16666666666666666,0.16666666666666666,1.0,442.76165771484375
166,1.0,0.25,0.25,47.06889343261719
167,0.7142857142857143,0.0,0.2857142857142857,310.94669015066967
168,0.5,0.5,1.0,608.0501098632812
169,0.25,0.25,1.0,1159.6808624267578
170,0.2857142857142857,0.2857142857142857,1.0,750.7593035016741
171,0.2857142857142857,0.14285714285714285,0.8571428571428571,268.2210933140346
172,0.125,0.125,1.0,317.2736072540283
173,0.16666666666666666,0.16666666666666666,1.0,256.63799540201825
174,0.45454545454545453,0.45454545454545453,1.0,844.3035306063565
175,0.14285714285714285,0.14285714285714285,1.0,459.6590096609933
176,1.0,1.0,1.0,638.7475382486979
177,0.14285714285714285,0.14285714285714285,1.0,142.5931994846889
178,0.8333333333333334,0.16666666666666666,0.3333333333333333,49.37773844401042
179,0.2857142857142857,0.2857142857142857,1.0,88.20043672834124
180,1.0,0.5,0.5,154.27312088012695
182,0.16666666666666666,0.16666666666666666,1.0,262.5932922363281
183,0.2857142857142857,0.2857142857142857,1.0,275.188232421875
184,0.5714285714285714,0.2857142857142857,0.7142857142857143,164.43863024030412
185,0.3333333333333333,0.3333333333333333,1.0,273.6909408569336
186,0.0,0.0,1.0,301.66441345214844
187,0.2,0.2,1.0,337.61809997558595
188,0.2222222222222222,0.2222222222222222,1.0,278.2645907931858
189,0.6,0.2,0.6,471.5810607910156
191,1.0,0.5,0.5,91.19960975646973
192,1.0,0.0,0.0,0.0
201,0.6666666666666666,0.3333333333333333,0.6666666666666666,530.2771402994791
202,0.4,0.4,1.0,476.65452880859374
203,0.3333333333333333,0.3333333333333333,1.0,691.2899169921875
204,1.0,0.0,0.0,0.0
205,0.0,0.0,1.0,1279.695068359375
207,0.3333333333333333,0.3333333333333333,1.0,836.3871256510416
208,1.0,0.5,0.5,407.0208740234375
209,0.8333333333333334,0.0,0.16666666666666666,57.19456481933594
210,0.0,0.0,1.0,603.604505750868
211,0.5833333333333334,0.08333333333333333,0.3333333333333333,107.33545557657878
212,0.4,0.0,0.6,241.29359741210936
213,0.7,0.0,0.3,311.7059814453125
214,0.6,0.0,0.4,413.76878662109374
215,1.0,0.2,0.2,94.86396484375
216,0.8571428571428571,0.14285714285714285,0.0,114.28571428571429
217,0.2,0.0,0.8,1131.507373046875
218,0.8,0.4,0.6,605.433935546875
219,0.3333333333333333,0.3333333333333333,1.0,143.72716776529947
220,0.5,0.5,1.0,338.7682281494141
221,0.7142857142857143,0.7142857142857143,1.0,170.816157749721
222,0.4,0.2,0.8,119.88835754394532
223,0.25,0.0,0.75,540.0305328369141
224,0.125,0.0,0.875,262.6678352355957
225,0.25,0.25,1.0,328.6964797973633
226,0.5454545454545454,0.09090909090909091,0.5454545454545454,302.68204012784093
227,0.375,0.375,1.0,862.2880325317383
228,0.7777777777777778,0.1111111111111111,0.2222222222222222,8151.18315633138
229,0.375,0.375,1.0,743.0503311157227
230,0.23076923076923078,0.07692307692307693,0.8461538461538461,1061.6070509690505
231,0.21428571428571427,0.21428571428571427,1.0,1563.5468967982702
232,0.13333333333333333,0.13333333333333333,1.0,1694.0030029296875
233,0.5384615384615384,0.23076923076923078,0.6923076923076923,1172.889901968149
234,0.4090909090909091,0.4090909090909091,1.0,1205.5312333540483
235,0.36363636363636365,0.36363636363636365,1.0,1024.139931418679
236,0.4444444444444444,0.4444444444444444,1.0,1182.4541693793403
237,0.3076923076923077,0.3076923076923077,1.0,1092.1116520808293
238,0.6153846153846154,0.6153846153846154,1.0,948.0863412710337
239,0.38461538461538464,0.38461538461538464,1.0,4949.2861328125
240,0.13333333333333333,0.13333333333333333,1.0,734.3654154459635
241,0.625,0.625,1.0,4624.173828125
242,0.0,0.0,1.0,6546.264882405599
243,0.8666666666666667,0.0,0.13333333333333333,133.39285074869792
244,0.875,0.0625,0.1875,284.6843719482422
245,0.0,0.0,1.0,372.9760009765625
