ID_LOCALIZACION_COMPRA,accuracy,count,real_restock_rate,pred_restock_rate,avg_quantity_error,total_real_quantity,total_pred_quantity
1534,1.0,1,0.0,0.0,0.0,0.0,0.0
1538,0.0,1,0.0,1.0,178.0,0.0,178.0
1546,0.5,2,0.0,0.5,438.339,0.0,876.677
1551,1.0,1,0.0,0.0,0.0,0.0,0.0
1553,0.0,1,0.0,1.0,147.233,0.0,147.233
1561,1.0,1,0.0,0.0,0.0,0.0,0.0
1562,1.0,1,1.0,1.0,34.364,8.0,42.364
1565,0.0,1,0.0,1.0,262.446,0.0,262.446
1566,1.0,3,0.0,0.0,0.0,0.0,0.0
1570,1.0,1,1.0,1.0,3.089,40.0,36.911
1574,1.0,1,0.0,0.0,0.0,0.0,0.0
1581,1.0,1,0.0,0.0,0.0,0.0,0.0
1584,0.5,2,0.5,0.0,6.0,12.0,0.0
1587,1.0,2,1.0,1.0,181.972,488.0,144.249
1593,0.0,1,0.0,1.0,48.314,0.0,48.314
1594,1.0,1,0.0,0.0,0.0,0.0,0.0
1597,1.0,1,0.0,0.0,0.0,0.0,0.0
1598,1.0,1,1.0,1.0,3.963,8.0,11.963
1600,1.0,1,0.0,0.0,0.0,0.0,0.0
1610,1.0,1,1.0,1.0,16.839,20.0,36.839
1617,1.0,1,0.0,0.0,0.0,0.0,0.0
1618,0.5,2,0.5,1.0,23.616,80.0,56.665
1626,1.0,1,0.0,0.0,0.0,0.0,0.0
1644,0.0,3,0.0,1.0,107.353,0.0,322.06
1645,1.0,1,1.0,1.0,214.784,480.0,265.216
1647,1.0,1,1.0,1.0,65.292,320.0,254.708
1648,1.0,3,0.333,0.333,133.033,640.0,240.901
1674,1.0,1,0.0,0.0,0.0,0.0,0.0
1679,1.0,1,0.0,0.0,0.0,0.0,0.0
1681,1.0,1,0.0,0.0,0.0,0.0,0.0
1702,1.0,1,0.0,0.0,0.0,0.0,0.0
1703,1.0,1,0.0,0.0,0.0,0.0,0.0
1704,1.0,1,0.0,0.0,0.0,0.0,0.0
1715,1.0,2,0.0,0.0,0.0,0.0,0.0
1718,1.0,3,0.0,0.0,0.0,0.0,0.0
1721,1.0,1,0.0,0.0,0.0,0.0,0.0
1727,1.0,1,0.0,0.0,0.0,0.0,0.0
1728,1.0,1,1.0,1.0,7.948,4.0,11.948
1736,0.5,2,0.5,1.0,304.627,800.0,328.39
1746,1.0,1,1.0,1.0,30.173,240.0,270.173
1750,1.0,1,1.0,1.0,34.353,160.0,194.353
1753,1.0,1,0.0,0.0,0.0,0.0,0.0
1766,1.0,2,0.0,0.0,0.0,0.0,0.0
1783,0.5,2,0.5,1.0,10.633,160.0,181.265
1788,1.0,2,0.0,0.0,0.0,0.0,0.0
1793,0.0,1,0.0,1.0,268.489,0.0,268.489
1813,0.0,1,0.0,1.0,65.916,0.0,65.916
1824,0.667,3,0.667,1.0,50.391,24.0,169.228
1826,1.0,1,0.0,0.0,0.0,0.0,0.0
1833,0.0,1,0.0,1.0,146.598,0.0,146.598
1839,0.5,2,0.5,0.0,20.0,40.0,0.0
1855,0.5,2,0.0,0.5,29.648,0.0,59.296
1856,1.0,1,1.0,1.0,45.796,160.0,205.796
1859,0.0,1,0.0,1.0,17.266,0.0,17.266
1871,1.0,1,0.0,0.0,0.0,0.0,0.0
1883,1.0,1,0.0,0.0,0.0,0.0,0.0
1892,0.0,1,0.0,1.0,133.963,0.0,133.963
1899,1.0,1,0.0,0.0,0.0,0.0,0.0
1911,1.0,1,0.0,0.0,0.0,0.0,0.0
1912,1.0,2,0.0,0.0,0.0,0.0,0.0
1915,0.5,2,0.5,1.0,16.985,4.0,37.969
1956,1.0,1,0.0,0.0,0.0,0.0,0.0
1958,1.0,1,0.0,0.0,0.0,0.0,0.0
1966,1.0,1,0.0,0.0,0.0,0.0,0.0
1968,1.0,2,0.0,0.0,0.0,0.0,0.0
1972,1.0,1,0.0,0.0,0.0,0.0,0.0
1981,1.0,1,0.0,0.0,0.0,0.0,0.0
1991,1.0,2,0.0,0.0,0.0,0.0,0.0
1998,1.0,1,1.0,1.0,9.738,120.0,110.262
2013,1.0,1,0.0,0.0,0.0,0.0,0.0
2023,1.0,1,0.0,0.0,0.0,0.0,0.0
2053,1.0,1,0.0,0.0,0.0,0.0,0.0
2084,1.0,1,0.0,0.0,0.0,0.0,0.0
2097,0.0,1,1.0,0.0,256.0,256.0,0.0
2107,1.0,1,0.0,0.0,0.0,0.0,0.0
2119,1.0,1,0.0,0.0,0.0,0.0,0.0
2128,1.0,1,0.0,0.0,0.0,0.0,0.0
2150,1.0,1,0.0,0.0,0.0,0.0,0.0
2152,1.0,1,0.0,0.0,0.0,0.0,0.0
2158,1.0,1,0.0,0.0,0.0,0.0,0.0
2162,1.0,1,0.0,0.0,0.0,0.0,0.0
2201,1.0,1,0.0,0.0,0.0,0.0,0.0
2207,1.0,1,1.0,1.0,3.443,16.0,19.443
2211,1.0,1,1.0,1.0,2.603,160.0,162.603
2213,1.0,1,0.0,0.0,0.0,0.0,0.0
2217,1.0,1,0.0,0.0,0.0,0.0,0.0
2218,1.0,1,0.0,0.0,0.0,0.0,0.0
2225,1.0,1,0.0,0.0,0.0,0.0,0.0
2237,1.0,1,1.0,1.0,115.259,200.0,84.741
2241,0.0,1,0.0,1.0,19.443,0.0,19.443
2257,1.0,1,0.0,0.0,0.0,0.0,0.0
2260,0.667,3,0.0,0.333,9.812,0.0,29.435
2265,1.0,1,1.0,1.0,15.838,16.0,31.838
2282,1.0,1,0.0,0.0,0.0,0.0,0.0
2283,1.0,1,0.0,0.0,0.0,0.0,0.0
2292,1.0,1,0.0,0.0,0.0,0.0,0.0
2308,1.0,1,0.0,0.0,0.0,0.0,0.0
2322,0.5,2,0.0,0.5,73.831,0.0,147.662
2326,1.0,1,0.0,0.0,0.0,0.0,0.0
2327,0.0,1,0.0,1.0,87.05,0.0,87.05
