ID_LOCALIZACION,Exactitud,Tasa_Real_Reposición,Tasa_Pred_Reposición,Error_Medio_Cantidad
2,1.0,1.0,1.0,14.869827270507812
19,0.5,0.0,0.5,898.2763366699219
23,1.0,0.0,0.0,3600.0
31,1.0,0.0,0.0,920.0
45,0.0,0.0,1.0,485.6885681152344
55,1.0,0.0,0.0,180.0
57,1.0,1.0,1.0,84.73662567138672
61,1.0,1.0,1.0,139.83743286132812
65,0.0,0.0,1.0,132.44049072265625
74,0.0,1.0,0.0,640.0
76,1.0,0.0,0.0,0.0
80,0.0,0.0,1.0,87.3117904663086
93,1.0,0.0,0.0,0.0
102,1.0,0.0,0.0,0.0
108,1.0,1.0,1.0,504.146484375
109,0.0,1.0,0.0,7200.0
115,1.0,0.5,0.5,23.020275115966797
120,1.0,0.0,0.0,180.0
125,1.0,0.5,0.5,15.44137191772461
129,1.0,0.0,0.0,0.0
141,1.0,0.0,0.0,8.0
143,1.0,0.0,0.0,200.0
147,1.0,1.0,1.0,15.441085815429688
149,1.0,0.0,0.0,216.0
151,1.0,0.0,0.0,700.0
153,0.5,0.0,0.5,140.7906494140625
157,1.0,0.0,0.0,0.0
160,1.0,0.5,0.5,72.29774475097656
161,1.0,0.0,0.0,1000.0
164,1.0,0.0,0.0,0.0
165,0.0,0.0,1.0,85.12687683105469
169,0.0,0.0,1.0,77.17449951171875
170,0.0,0.0,1.0,284.26263427734375
180,0.0,1.0,0.0,1200.0
187,1.0,0.0,0.0,1380.0
190,0.0,0.0,1.0,101.23811340332031
192,0.0,0.0,1.0,382.98974609375
197,0.0,0.0,1.0,161.70066833496094
199,1.0,0.0,0.0,0.0
207,0.0,0.0,1.0,194.2754669189453
208,0.0,0.0,1.0,135.7329559326172
209,1.0,0.0,0.0,0.0
212,0.0,0.0,1.0,6.975254058837891
221,0.0,0.0,1.0,308.393798828125
222,0.5,0.5,0.5,256.1429862976074
229,1.0,0.0,0.0,833.3333333333334
233,0.0,0.0,1.0,49.96070098876953
238,0.0,0.0,1.0,458.17010498046875
247,0.0,0.0,1.0,31.190185546875
250,0.0,0.0,1.0,329.93190002441406
256,0.0,0.0,1.0,380.0262756347656
258,1.0,0.0,0.0,600.0
261,0.0,0.0,1.0,105.19569396972656
266,1.0,0.0,0.0,0.0
267,1.0,0.0,0.0,900.0
280,1.0,1.0,1.0,264.8337860107422
281,1.0,0.0,0.0,6000.0
286,1.0,0.0,0.0,0.0
288,1.0,0.0,0.0,0.0
290,1.0,0.5,0.5,68.13713073730469
291,1.0,0.0,0.0,0.0
293,0.5,0.5,1.0,120.20389175415039
295,1.0,0.0,0.0,0.0
296,1.0,0.0,0.0,0.0
306,0.0,0.0,1.0,128.2969970703125
322,0.0,0.0,1.0,133.93983459472656
329,1.0,1.0,1.0,20.157843399047852
341,1.0,0.0,0.0,0.0
368,0.0,0.0,1.0,150.1966552734375
370,1.0,0.0,0.0,15000.0
379,0.6666666666666666,0.0,0.3333333333333333,68.52161661783855
393,1.0,1.0,1.0,952.0919799804688
523,1.0,1.0,1.0,14.971855163574219
526,0.5,0.0,0.5,108.8009033203125
694,1.0,0.5,0.5,47.16168212890625
696,1.0,0.0,0.0,0.0
746,1.0,0.0,0.0,300.0
755,1.0,0.0,0.0,140.0
790,0.0,0.0,1.0,221.24925231933594
831,0.0,1.0,0.0,320.0
893,1.0,0.0,0.0,4080.0
911,0.5,0.5,0.0,1200.0
916,1.0,0.0,0.0,0.0
946,1.0,1.0,1.0,685.3070678710938
986,1.0,0.0,0.0,720.0
1181,1.0,0.0,0.0,550.0
1233,0.5,0.0,0.5,167.79762649536133
1247,1.0,1.0,1.0,24.550506591796875
1265,1.0,0.0,0.0,5200.0
1279,1.0,0.0,0.0,1400.0
1289,1.0,0.5,0.5,560.3454132080078
1295,1.0,1.0,1.0,101.95222473144531
1314,1.0,0.0,0.0,48.0
1332,0.0,0.0,1.0,193.03402709960938
1347,0.5,0.5,0.0,140.0
1380,1.0,0.0,0.0,400.0
1407,0.0,1.0,0.0,2400.0
1411,1.0,0.0,0.0,0.0
1415,1.0,0.0,0.0,16.0
1420,1.0,0.0,0.0,0.0
1429,1.0,0.0,0.0,180.0
1460,1.0,0.0,0.0,0.0
1486,1.0,0.0,0.0,0.0
1498,0.0,0.0,1.0,210.00392150878906
1507,1.0,0.0,0.0,0.0
1512,1.0,0.0,0.0,13.266666666666666
1520,0.0,0.0,1.0,61.41036605834961
1522,1.0,0.0,0.0,0.0
1528,0.0,0.0,1.0,26.777587890625
1529,1.0,0.0,0.0,0.0
1534,0.0,0.0,1.0,34.03629684448242
1542,1.0,0.0,0.0,90.0
1551,1.0,0.0,0.0,0.0
1553,0.0,0.0,1.0,57.5107536315918
1557,1.0,0.0,0.0,0.0
1566,1.0,0.0,0.0,0.0
1568,1.0,0.0,0.0,15.0
1574,1.0,0.0,0.0,0.0
1581,0.0,0.0,1.0,82.44929504394531
1582,0.0,0.0,1.0,86.11024475097656
1585,0.5,0.5,1.0,571.0836925506592
1586,0.0,0.0,1.0,5.567283630371094
1588,1.0,0.0,0.0,30.0
1593,0.0,0.0,1.0,60.296756744384766
1596,0.0,0.5,0.5,95.3015365600586
1598,0.0,1.0,0.0,8.0
1599,1.0,1.0,1.0,22.069965362548828
1600,1.0,0.0,0.0,0.0
1617,1.0,1.0,1.0,30.8631591796875
1626,0.5,0.5,0.0,80.0
1645,1.0,1.0,1.0,260.3061065673828
1648,0.5,0.5,1.0,238.38995742797852
1657,0.0,0.0,1.0,81.45899200439453
1674,1.0,0.0,0.0,0.0
1679,1.0,0.0,0.0,0.0
1681,1.0,0.0,0.0,0.0
1685,1.0,0.0,0.0,0.8000000000000007
1702,0.0,1.0,0.0,36.0
1715,0.0,0.0,1.0,9.88713264465332
1718,1.0,0.0,0.0,135.0
1721,1.0,0.0,0.0,0.0
1736,0.0,0.0,1.0,28.192550659179688
1746,1.0,0.0,0.0,0.0
1753,0.0,0.0,1.0,54.09471130371094
1766,0.0,0.0,1.0,54.6872673034668
1767,0.5,0.0,0.5,118.91980361938477
1783,0.0,0.0,1.0,26.288246154785156
1788,1.0,0.0,0.0,30.0
1813,0.0,0.0,1.0,32.06001663208008
1824,0.6666666666666666,0.6666666666666666,1.0,70.16145706176758
1826,1.0,1.0,1.0,102.7890625
1834,0.0,0.0,1.0,22.801838684082032
1839,1.0,0.0,0.0,0.2000000000000001
1871,0.5,0.5,0.0,8.0
1885,0.0,1.0,0.0,3.2
1892,0.0,0.0,1.0,123.60242462158203
1899,0.0,0.0,1.0,67.01246897379558
1902,0.5,0.5,1.0,31.667531967163086
1905,1.0,0.0,0.0,100.0
1912,1.0,0.0,0.0,0.6000000000000001
1915,1.0,1.0,1.0,6.618011474609375
1956,1.0,0.0,0.0,0.0
1958,1.0,0.0,0.0,0.0
1962,0.0,0.0,1.0,88.69804382324219
1964,0.0,0.0,1.0,190.6178741455078
1966,1.0,0.0,0.0,40.0
1968,0.5,0.5,0.0,40.0
1971,1.0,0.0,0.0,15.0
1972,1.0,0.0,0.0,130.0
1974,1.0,0.0,0.0,0.0
1984,1.0,1.0,1.0,2005.1207885742188
1985,1.0,0.0,0.0,9.0
1990,1.0,1.0,1.0,32.37187881469727
1991,1.0,0.0,0.0,1.0
2023,1.0,0.0,0.0,0.0
2053,1.0,0.0,0.0,200.0
2062,0.0,1.0,0.0,4200.0
2065,1.0,0.0,0.0,0.0
2078,1.0,1.0,1.0,33.21234893798828
2097,0.0,1.0,0.0,256.0
2126,1.0,0.0,0.0,0.0
2128,1.0,0.0,0.0,0.0
2131,1.0,0.0,0.0,0.0
2150,1.0,0.0,0.0,0.0
2152,1.0,0.0,0.0,0.0
2162,1.0,0.0,0.0,0.0
2164,0.0,1.0,0.0,32.0
2166,0.0,1.0,0.0,5120.0
2170,1.0,0.0,0.0,0.0
2211,1.0,0.0,0.0,0.0
2213,1.0,0.0,0.0,0.0
2215,1.0,0.0,0.0,0.0
2218,1.0,0.0,0.0,0.0
2237,1.0,1.0,1.0,137.00003051757812
2241,0.0,0.0,1.0,60.62338829040527
2257,1.0,0.0,0.0,0.0
2260,1.0,0.0,0.0,0.0
2277,1.0,0.0,0.0,0.0
2283,0.5,0.0,0.5,4.714641571044922
2292,1.0,0.0,0.0,0.0
2295,1.0,0.5,0.5,11.039450645446777
2308,0.5,0.0,0.5,12.042442321777344
2322,1.0,0.0,0.0,0.0
2332,1.0,0.0,0.0,0.0
2342,0.5,0.0,0.5,16.213455200195312
2343,1.0,0.0,0.0,23.333333333333332
2350,1.0,0.5,0.5,109.12504196166992
2375,1.0,0.0,0.0,0.0
2377,0.5,0.5,0.0,158.0
2394,1.0,0.0,0.0,0.0
2405,1.0,0.0,0.0,4.0
2413,0.0,0.0,1.0,30.59117317199707
2416,1.0,0.0,0.0,0.0
2418,1.0,0.0,0.0,0.0
2425,1.0,0.0,0.0,150.0
2439,1.0,0.0,0.0,0.0
2440,1.0,0.0,0.0,300.0
2450,1.0,1.0,1.0,183.28587341308594
2456,0.0,0.0,1.0,59.429283142089844
2472,1.0,0.3333333333333333,0.3333333333333333,18.85784912109375
2473,0.0,0.0,1.0,89.05989646911621
2476,0.0,0.0,1.0,31.739784240722656
2483,1.0,0.0,0.0,285.0
2484,1.0,0.0,0.0,0.0
2497,1.0,0.0,0.0,180.0
2512,0.5,0.5,1.0,234.9610824584961
2525,1.0,0.0,0.0,240.0
2529,0.5,0.0,0.5,115.03959655761719
2535,1.0,0.0,0.0,0.0
2548,1.0,1.0,1.0,338.0923767089844
2552,0.0,0.0,1.0,1065.0216064453125
2562,1.0,0.0,0.0,0.0
2573,1.0,0.0,0.0,360.0
2583,1.0,1.0,1.0,880.07275390625
2618,1.0,0.0,0.0,0.0
2624,0.0,0.0,1.0,1764.9822998046875
2628,0.5,0.0,0.5,403.6487121582031
2639,0.0,0.0,1.0,230.9463348388672
2642,1.0,0.0,0.0,120.0
2646,0.0,1.0,0.0,225.0
2652,1.0,0.0,0.0,0.0
2663,0.5,0.0,0.5,176.52203369140625
2664,1.0,0.0,0.0,2400.0
2670,1.0,0.0,0.0,60.0
2683,1.0,0.0,0.0,30.0
2688,0.5,0.5,0.0,255.0
2691,1.0,1.0,1.0,3429.3114013671875
2699,1.0,0.0,0.0,180.0
2714,1.0,1.0,1.0,665.9158325195312
2728,1.0,0.0,0.0,0.0
2734,1.0,0.0,0.0,0.0
2739,1.0,0.0,0.0,42.0
2743,1.0,0.0,0.0,0.0
2758,1.0,1.0,1.0,1796.166015625
2760,0.0,0.0,1.0,707.3668212890625
2769,1.0,0.0,0.0,0.0
2770,0.0,1.0,0.0,480.0
2774,1.0,0.0,0.0,0.0
2779,1.0,0.0,0.0,33.0
2783,1.0,1.0,1.0,269.542724609375
