threshold,accuracy,precision,recall,f1_score,service_level,overstock_rate,operational_score,tp,fp,fn,tn
0.1,0.3546160483175151,0.2594059405940594,1.0,0.4119496855345912,1.0,0.6453839516824849,0.14608396958991976,262,748,0,149
0.15000000000000002,0.5599654874892148,0.3319783197831978,0.9351145038167938,0.49,0.9853321829163072,0.4253666954270923,0.27744029730190484,245,493,17,404
0.20000000000000004,0.6980155306298533,0.4126984126984127,0.7938931297709924,0.5430809399477807,0.9534081104400345,0.2553925798101812,0.38554117161509976,208,296,54,601
0.25000000000000006,0.7540983606557377,0.4699738903394256,0.6870229007633588,0.5581395348837208,0.9292493528904228,0.17515099223468508,0.427808599087382,180,203,82,694
0.30000000000000004,0.7817083692838654,0.5160142348754448,0.5534351145038168,0.5340699815837937,0.8990509059534081,0.11734253666954271,0.42381336592191077,145,136,117,761
0.3500000000000001,0.8067299396031061,0.5931372549019608,0.4618320610687023,0.5193133047210301,0.8783433994823123,0.07161345987920621,0.42346997833339806,121,83,141,814
0.40000000000000013,0.8101811906816221,0.6567164179104478,0.33587786259541985,0.4444444444444444,0.8498705780845557,0.03968938740293356,0.3627287713193789,88,46,174,851
0.45000000000000007,0.814495254529767,0.7422680412371134,0.2748091603053435,0.40111420612813375,0.8360655737704918,0.021570319240724764,0.32812400454340923,72,25,190,872
0.5000000000000001,0.8067299396031061,0.7878787878787878,0.1984732824427481,0.3170731707317073,0.8188093183779119,0.012079378774805867,0.25648638868779267,52,14,210,883
0.5500000000000002,0.8032786885245902,0.9047619047619048,0.1450381679389313,0.25,0.8067299396031061,0.003451251078515962,0.20098642800724495,38,4,224,893
0.6000000000000002,0.7981018119068162,1.0,0.10687022900763359,0.19310344827586207,0.7981018119068162,0.0,0.15411621195441969,28,0,234,897
0.6500000000000001,0.7868852459016393,1.0,0.05725190839694656,0.10830324909747292,0.7868852459016393,0.0,0.08522222879801147,15,0,247,897
0.7000000000000002,0.7799827437446074,1.0,0.026717557251908396,0.0520446096654275,0.7799827437446074,0.0,0.04059389744395726,7,0,255,897
0.7500000000000002,0.7765314926660914,1.0,0.011450381679389313,0.022641509433962263,0.7765314926660914,0.0,0.017581845116968108,3,0,259,897
0.8000000000000002,0.7748058671268335,1.0,0.003816793893129771,0.0076045627376425855,0.7748058671268334,0.0,0.0058920598260595695,1,0,261,897
0.8500000000000002,0.7739430543572045,0.0,0.0,0.0,0.7739430543572045,0.0,0.0,0,0,262,897
