feature,importance
alias_pct_temporada_alta,0.11672105002290513
antiguedad_normalizada,0.1144025354134461
alias_coef_variacion,0.09581118070339328
alias_coef_variacion_sqrt,0.0899480022891842
dia_del_año,0.07701774880236222
alias_pct_fin_semana,0.06515484156747915
loc_num_registros,0.060277647360472315
loc_diversidad_alias,0.056382617409045786
alias_frecuencia,0.055218134968614635
dia_semana_sen,0.050245044098957706
alias_frecuencia_log,0.04253853641706394
mes_sen,0.038868763684909456
dia_semana_cos,0.027750606568927555
loc_tamaño_Pequeña,0.020435464913264714
mes_cos,0.013278776544993683
loc_tamaño_Mediana,0.010564400722543945
semana_del_año,0.010262683889910798
loc_tamaño_Grande,0.008303319080427167
es_alias_popular_loc_grande,0.008196946220238255
es_alias_popular_loc_pequeña,0.008133458845009387
dato_medio,0.007236154233143837
alias_popularidad_Media,0.006843545009308017
es_fin_semana,0.006406507300019819
dato_reciente,0.005532786738949811
es_temporada_alta,0.001959570280589037
alias_popularidad_Baja,0.0009415615330176102
dato_antiguo,0.0006932695921888876
dato_muy_reciente,0.0004602553484628579
alias_popularidad_Alta,0.0004145904411706798
ID_ALIAS_ANALYTICS,0.0
ID_AJENO,0.0
dato_muy_reciente_win,0.0
