,precision,recall,f1-score,support
0,0.8362068965517241,0.6488294314381271,0.7306967984934086,598.0
1,0.32038834951456313,0.5657142857142857,0.4090909090909091,175.0
accuracy,0.630012936610608,0.630012936610608,0.630012936610608,0.630012936610608
macro avg,0.5782976230331436,0.6072718585762065,0.5698938537921588,773.0
weighted avg,0.7194303820219657,0.630012936610608,0.6578882206855983,773.0
