feature,importance
alias_pct_temporada_alta,0.12826587182548932
antiguedad_normalizada,0.12668589907768624
alias_coef_variacion_sqrt,0.0950965882161709
alias_coef_variacion,0.08317484040586141
dia_del_año,0.07115134052404698
alias_pct_fin_semana,0.06860449417342707
loc_num_registros,0.05861522265986246
alias_frecuencia_log,0.05510673686996481
loc_diversidad_alias,0.05205134195503583
alias_frecuencia,0.04644357624366787
dia_semana_sen,0.04448241121211816
mes_sen,0.041710371078550273
loc_tamaño_Pequeña,0.02211376310348858
mes_cos,0.01970685681012989
dia_semana_cos,0.018110919633926498
loc_tamaño_Mediana,0.012004097452909496
semana_del_año,0.009133821851606296
alias_popularidad_Media,0.008459302414825483
es_fin_semana,0.008386984644641106
loc_tamaño_Grande,0.006828965928638112
es_alias_popular_loc_pequeña,0.00620427748008107
es_alias_popular_loc_grande,0.006064284724344631
dato_medio,0.004984864492938058
dato_reciente,0.00340064199343686
alias_popularidad_Baja,0.0016048414228667142
alias_popularidad_Alta,0.0006461924166260312
es_temporada_alta,0.000626891884384932
dato_antiguo,0.00033459755152198353
dato_muy_reciente,1.95175285278935e-09
ID_ALIAS_ANALYTICS,0.0
ID_AJENO,0.0
dato_muy_reciente_win,0.0
