feature,importance
alias_coef_variacion_sqrt,0.10262779104114982
alias_coef_variacion,0.102254765725913
antiguedad_normalizada,0.07879145861441607
alias_pct_temporada_alta,0.07759830816245565
dia_del_año,0.06650922326166364
alias_frecuencia,0.06066420025651695
alias_frecuencia_log,0.059420551240696014
alias_pct_fin_semana,0.05694040499953594
loc_num_registros,0.05436656864331672
loc_diversidad_alias,0.05416601489090252
dia_semana_sen,0.044201882584196904
semana_del_año,0.03650417898271831
dia_semana_cos,0.030380384880163338
mes_sen,0.030067004728143436
mes_cos,0.021022310844834656
loc_tamaño_Pequeña,0.01984396159844185
loc_tamaño_Mediana,0.016030115915079256
loc_tamaño_Grande,0.01435564259164702
es_alias_popular_loc_grande,0.010983789316017612
es_alias_popular_loc_pequeña,0.01017672223309377
dato_antiguo,0.008304195803899071
alias_popularidad_Media,0.007992106491519891
alias_popularidad_Alta,0.007147346727592534
dato_reciente,0.007103154363338412
alias_popularidad_Baja,0.006596566062657976
es_temporada_alta,0.006243302954271181
dato_medio,0.0057535697241263735
es_fin_semana,0.0032198070751842363
dato_muy_reciente,0.0007346702865078426
ID_ALIAS_ANALYTICS,0.0
ID_AJENO,0.0
dato_muy_reciente_win,0.0
